Timing samples: mode=median repeats=5 warmup=1 metric=kernel_ms

group   name              kernel        rows      cols      block_x grid_x  cpu   gpu   total_ms    kernel_ms   
scale   scale_rect_1      basic         6144      4096      64      32      SKIP  SKIP  70.189      4.169       
scale   scale_rect_1      basic         6144      4096      64      64      SKIP  SKIP  59.472      2.255       
scale   scale_rect_1      basic         6144      4096      64      128     SKIP  SKIP  46.437      1.401       
scale   scale_rect_1      basic         6144      4096      128     8       SKIP  SKIP  93.405      8.010       
scale   scale_rect_1      basic         6144      4096      128     16      SKIP  SKIP  62.899      4.169       
scale   scale_rect_1      basic         6144      4096      128     32      SKIP  SKIP  58.672      2.258       
scale   scale_rect_1      basic         6144      4096      128     64      SKIP  SKIP  46.146      1.402       
scale   scale_rect_1      basic         6144      4096      128     128     SKIP  SKIP  51.991      1.168       
scale   scale_rect_1      basic         6144      4096      256     8       SKIP  SKIP  70.085      4.162       
scale   scale_rect_1      basic         6144      4096      256     16      SKIP  SKIP  57.163      2.259       
scale   scale_rect_1      basic         6144      4096      256     32      SKIP  SKIP  46.569      1.402       
scale   scale_rect_1      basic         6144      4096      256     64      SKIP  SKIP  52.049      1.168       
scale   scale_rect_1      basic         6144      4096      256     128     SKIP  SKIP  49.662      1.498       
scale   scale_rect_1      basic         6144      4096      512     8       SKIP  SKIP  62.548      2.251       
scale   scale_rect_1      basic         6144      4096      512     16      SKIP  SKIP  46.501      1.401       
scale   scale_rect_1      basic         6144      4096      512     32      SKIP  SKIP  47.905      1.168       
scale   scale_rect_1      basic         6144      4096      512     64      SKIP  SKIP  54.132      1.427       
scale   scale_rect_1      basic         6144      4096      512     128     SKIP  SKIP  55.534      1.197       
scale   scale_rect_2      basic         4096      8192      64      8       SKIP  SKIP  178.620     20.830      
scale   scale_rect_2      basic         4096      8192      64      16      SKIP  SKIP  127.319     10.694      
scale   scale_rect_2      basic         4096      8192      64      32      SKIP  SKIP  91.218      5.555       
scale   scale_rect_2      basic         4096      8192      64      64      SKIP  SKIP  74.875      3.015       
scale   scale_rect_2      basic         4096      8192      64      128     SKIP  SKIP  68.539      1.863       
scale   scale_rect_2      basic         4096      8192      128     8       SKIP  SKIP  115.439     10.693      
scale   scale_rect_2      basic         4096      8192      128     16      SKIP  SKIP  90.929      5.570       
scale   scale_rect_2      basic         4096      8192      128     32      SKIP  SKIP  71.663      3.020       
scale   scale_rect_2      basic         4096      8192      128     64      SKIP  SKIP  61.858      1.866       
scale   scale_rect_2      basic         4096      8192      128     128     SKIP  SKIP  69.407      1.555       
scale   scale_rect_2      basic         4096      8192      256     8       SKIP  SKIP  86.281      5.567       
scale   scale_rect_2      basic         4096      8192      256     16      SKIP  SKIP  74.337      3.015       
scale   scale_rect_2      basic         4096      8192      256     32      SKIP  SKIP  71.382      1.865       
scale   scale_rect_2      basic         4096      8192      256     64      SKIP  SKIP  76.109      1.552       
scale   scale_rect_2      basic         4096      8192      256     128     SKIP  SKIP  69.578      1.744       
scale   scale_rect_2      basic         4096      8192      512     8       SKIP  SKIP  81.026      3.004       
scale   scale_rect_2      basic         4096      8192      512     16      SKIP  SKIP  62.389      1.868       
scale   scale_rect_2      basic         4096      8192      512     32      SKIP  SKIP  59.859      1.554       
scale   scale_rect_2      basic         4096      8192      512     64      SKIP  SKIP  61.983      1.748       
scale   scale_rect_2      basic         4096      8192      512     128     SKIP  SKIP  67.846      1.677       
small   small_1           float4        2         4         256     64      SKIP  PASS  0.697       0.004       
small   small_2           float4        3         3         256     64      SKIP  PASS  0.598       0.005       
small   small_3           float4        1         8         256     64      SKIP  PASS  0.518       0.004       
small   small_tail2       float4        2         3         256     64      SKIP  PASS  0.995       0.005       
medium  medium_1          float4        64        64        256     64      SKIP  SKIP  0.580       0.005       
medium  medium_2          float4        255       257       256     64      SKIP  SKIP  0.699       0.005       
medium  medium_3          float4        513       1025      256     64      SKIP  SKIP  1.958       0.026       
medium  medium_4          float4        1024      1024      256     64      SKIP  SKIP  2.952       0.051       
medium  medium_tail2      float4        257       258       256     64      SKIP  SKIP  0.667       0.005       
large   large_1           float4        1023      2049      256     64      SKIP  SKIP  4.661       0.098       
large   large_2           float4        1537      2049      256     64      SKIP  SKIP  6.605       0.145       
tensara tensara_1         float4        4096      4096      256     64      SKIP  SKIP  36.894      0.754       
tensara tensara_2         float4        6144      4096      256     64      SKIP  SKIP  50.189      1.122       
tensara tensara_3         float4        4096      7168      256     64      SKIP  SKIP  61.283      1.315       
tensara tensara_4         float4        4096      8192      256     64      SKIP  SKIP  67.032      1.501       
tensara tensara_5         float4        8192      8192      256     64      SKIP  SKIP  130.611     3.005       
scale   scale_tensara_1   float4        4096      4096      64      8       SKIP  SKIP  59.196      3.044       
scale   scale_tensara_1   float4        4096      4096      64      16      SKIP  SKIP  40.928      1.651       
scale   scale_tensara_1   float4        4096      4096      64      32      SKIP  SKIP  34.850      0.991       
scale   scale_tensara_1   float4        4096      4096      64      64      SKIP  SKIP  33.113      0.779       
scale   scale_tensara_1   float4        4096      4096      64      128     SKIP  SKIP  32.513      0.753       
scale   scale_tensara_1   float4        4096      4096      128     8       SKIP  SKIP  36.565      1.591       
scale   scale_tensara_1   float4        4096      4096      128     16      SKIP  SKIP  33.815      0.966       
scale   scale_tensara_1   float4        4096      4096      128     32      SKIP  SKIP  31.621      0.776       
scale   scale_tensara_1   float4        4096      4096      128     64      SKIP  SKIP  33.347      0.756       
scale   scale_tensara_1   float4        4096      4096      128     128     SKIP  SKIP  33.667      0.755       
scale   scale_tensara_1   float4        4096      4096      256     8       SKIP  SKIP  33.481      0.968       
scale   scale_tensara_1   float4        4096      4096      256     16      SKIP  SKIP  36.907      0.777       
scale   scale_tensara_1   float4        4096      4096      256     32      SKIP  SKIP  30.556      0.755       
scale   scale_tensara_1   float4        4096      4096      256     64      SKIP  SKIP  33.424      0.755       
scale   scale_tensara_1   float4        4096      4096      256     128     SKIP  SKIP  37.172      0.762       
scale   scale_tensara_1   float4        4096      4096      512     8       SKIP  SKIP  32.996      0.777       
scale   scale_tensara_1   float4        4096      4096      512     16      SKIP  SKIP  33.863      0.753       
scale   scale_tensara_1   float4        4096      4096      512     32      SKIP  SKIP  32.297      0.754       
scale   scale_tensara_1   float4        4096      4096      512     64      SKIP  SKIP  33.710      0.761       
scale   scale_tensara_1   float4        4096      4096      512     128     SKIP  SKIP  32.009      0.750       
scale   scale_tensara_2   float4        6144      4096      64      8       SKIP  SKIP  68.159      4.326       
scale   scale_tensara_2   float4        6144      4096      64      16      SKIP  SKIP  56.608      2.369       
scale   scale_tensara_2   float4        6144      4096      64      32      SKIP  SKIP  82.974      1.430       
scale   scale_tensara_2   float4        6144      4096      64      64      SKIP  SKIP  79.334      1.161       
scale   scale_tensara_2   float4        6144      4096      64      128     SKIP  SKIP  74.097      1.123       
scale   scale_tensara_2   float4        6144      4096      128     8       SKIP  SKIP  62.569      2.367       
scale   scale_tensara_2   float4        6144      4096      128     16      SKIP  SKIP  65.850      1.427       
scale   scale_tensara_2   float4        6144      4096      128     32      SKIP  SKIP  50.716      1.160       
scale   scale_tensara_2   float4        6144      4096      128     64      SKIP  SKIP  53.008      1.124       
scale   scale_tensara_2   float4        6144      4096      128     128     SKIP  SKIP  48.033      1.124       
scale   scale_tensara_2   float4        6144      4096      256     8       SKIP  SKIP  53.266      1.423       
scale   scale_tensara_2   float4        6144      4096      256     16      SKIP  SKIP  51.211      1.162       
scale   scale_tensara_2   float4        6144      4096      256     32      SKIP  SKIP  48.490      1.126       
scale   scale_tensara_2   float4        6144      4096      256     64      SKIP  SKIP  50.388      1.124       
scale   scale_tensara_2   float4        6144      4096      256     128     SKIP  SKIP  54.051      1.138       
scale   scale_tensara_2   float4        6144      4096      512     8       SKIP  SKIP  46.981      1.163       
scale   scale_tensara_2   float4        6144      4096      512     16      SKIP  SKIP  47.623      1.125       
scale   scale_tensara_2   float4        6144      4096      512     32      SKIP  SKIP  44.764      1.124       
scale   scale_tensara_2   float4        6144      4096      512     64      SKIP  SKIP  48.569      1.135       
scale   scale_tensara_2   float4        6144      4096      512     128     SKIP  SKIP  54.239      1.119       
scale   scale_tensara_3   float4        4096      7168      64      8       SKIP  SKIP  80.795      5.127       
scale   scale_tensara_3   float4        4096      7168      64      16      SKIP  SKIP  65.489      2.754       
scale   scale_tensara_3   float4        4096      7168      64      32      SKIP  SKIP  60.418      1.669       
scale   scale_tensara_3   float4        4096      7168      64      64      SKIP  SKIP  63.497      1.354       
scale   scale_tensara_3   float4        4096      7168      64      128     SKIP  SKIP  57.854      1.311       
scale   scale_tensara_3   float4        4096      7168      128     8       SKIP  SKIP  62.415      2.755       
scale   scale_tensara_3   float4        4096      7168      128     16      SKIP  SKIP  55.199      1.661       
scale   scale_tensara_3   float4        4096      7168      128     32      SKIP  SKIP  58.250      1.353       
scale   scale_tensara_3   float4        4096      7168      128     64      SKIP  SKIP  63.008      1.311       
scale   scale_tensara_3   float4        4096      7168      128     128     SKIP  SKIP  56.798      1.313       
scale   scale_tensara_3   float4        4096      7168      256     8       SKIP  SKIP  58.456      1.659       
scale   scale_tensara_3   float4        4096      7168      256     16      SKIP  SKIP  58.238      1.353       
scale   scale_tensara_3   float4        4096      7168      256     32      SKIP  SKIP  57.603      1.313       
scale   scale_tensara_3   float4        4096      7168      256     64      SKIP  SKIP  51.620      1.315       
scale   scale_tensara_3   float4        4096      7168      256     128     SKIP  SKIP  59.606      1.328       
scale   scale_tensara_3   float4        4096      7168      512     8       SKIP  SKIP  56.725      1.355       
scale   scale_tensara_3   float4        4096      7168      512     16      SKIP  SKIP  55.573      1.312       
scale   scale_tensara_3   float4        4096      7168      512     32      SKIP  SKIP  59.297      1.312       
scale   scale_tensara_3   float4        4096      7168      512     64      SKIP  SKIP  60.351      1.330       
scale   scale_tensara_3   float4        4096      7168      512     128     SKIP  SKIP  58.453      1.312       
scale   scale_tensara_4   float4        4096      8192      64      8       SKIP  SKIP  99.013      5.789       
scale   scale_tensara_4   float4        4096      8192      64      16      SKIP  SKIP  79.085      3.162       
scale   scale_tensara_4   float4        4096      8192      64      32      SKIP  SKIP  67.039      1.878       
scale   scale_tensara_4   float4        4096      8192      64      64      SKIP  SKIP  64.751      1.539       
scale   scale_tensara_4   float4        4096      8192      64      128     SKIP  SKIP  61.816      1.501       
scale   scale_tensara_4   float4        4096      8192      128     8       SKIP  SKIP  72.844      3.151       
scale   scale_tensara_4   float4        4096      8192      128     16      SKIP  SKIP  79.902      1.883       
scale   scale_tensara_4   float4        4096      8192      128     32      SKIP  SKIP  63.540      1.542       
scale   scale_tensara_4   float4        4096      8192      128     64      SKIP  SKIP  71.626      1.502       
scale   scale_tensara_4   float4        4096      8192      128     128     SKIP  SKIP  64.646      1.499       
scale   scale_tensara_4   float4        4096      8192      256     8       SKIP  SKIP  76.143      1.875       
scale   scale_tensara_4   float4        4096      8192      256     16      SKIP  SKIP  71.717      1.540       
scale   scale_tensara_4   float4        4096      8192      256     32      SKIP  SKIP  76.620      1.502       
scale   scale_tensara_4   float4        4096      8192      256     64      SKIP  SKIP  64.210      1.500       
scale   scale_tensara_4   float4        4096      8192      256     128     SKIP  SKIP  65.655      1.516       
scale   scale_tensara_4   float4        4096      8192      512     8       SKIP  SKIP  69.246      1.541       
scale   scale_tensara_4   float4        4096      8192      512     16      SKIP  SKIP  63.854      1.501       
scale   scale_tensara_4   float4        4096      8192      512     32      SKIP  SKIP  66.563      1.501       
scale   scale_tensara_4   float4        4096      8192      512     64      SKIP  SKIP  60.453      1.518       
scale   scale_tensara_4   float4        4096      8192      512     128     SKIP  SKIP  65.543      1.499       
scale   scale_tensara_5   float4        8192      8192      64      8       SKIP  SKIP  187.640     11.540      
scale   scale_tensara_5   float4        8192      8192      64      16      SKIP  SKIP  144.118     6.296       
scale   scale_tensara_5   float4        8192      8192      64      32      SKIP  SKIP  148.554     3.793       
scale   scale_tensara_5   float4        8192      8192      64      64      SKIP  SKIP  123.248     3.088       
scale   scale_tensara_5   float4        8192      8192      64      128     SKIP  SKIP  131.077     2.986       
scale   scale_tensara_5   float4        8192      8192      128     8       SKIP  SKIP  149.317     6.322       
scale   scale_tensara_5   float4        8192      8192      128     16      SKIP  SKIP  133.534     3.796       
scale   scale_tensara_5   float4        8192      8192      128     32      SKIP  SKIP  130.628     3.088       
scale   scale_tensara_5   float4        8192      8192      128     64      SKIP  SKIP  136.959     2.988       
scale   scale_tensara_5   float4        8192      8192      128     128     SKIP  SKIP  132.644     2.987       
scale   scale_tensara_5   float4        8192      8192      256     8       SKIP  SKIP  126.550     3.785       
scale   scale_tensara_5   float4        8192      8192      256     16      SKIP  SKIP  125.491     3.087       
scale   scale_tensara_5   float4        8192      8192      256     32      SKIP  SKIP  132.329     2.990       
scale   scale_tensara_5   float4        8192      8192      256     64      SKIP  SKIP  123.817     2.992       
scale   scale_tensara_5   float4        8192      8192      256     128     SKIP  SKIP  139.700     3.027       
scale   scale_tensara_5   float4        8192      8192      512     8       SKIP  SKIP  124.171     3.088       
scale   scale_tensara_5   float4        8192      8192      512     16      SKIP  SKIP  128.572     2.987       
scale   scale_tensara_5   float4        8192      8192      512     32      SKIP  SKIP  135.275     2.994       
scale   scale_tensara_5   float4        8192      8192      512     64      SKIP  SKIP  131.437     3.027       
scale   scale_tensara_5   float4        8192      8192      512     128     SKIP  SKIP  126.821     2.989       
