Timing samples: mode=median repeats=5 warmup_rounds=5 shuffle_seed=6221076 metric=kernel_ms
CPU reference implemented: yes
GPU kernel implemented: yes

group     name                        kernel    H           H_out       K       stride  pad     dil     block   grid    cpu     gpu     total_ms    kernel_ms   
sweep     tensara_5                   basic     33554432    33554432    3       1       1       1       256     32      SKIP    SKIP    2.388       2.388       
sweep     tensara_5                   basic     33554432    33554432    3       1       1       1       256     64      SKIP    SKIP    1.975       1.975       
sweep     tensara_5                   basic     33554432    33554432    3       1       1       1       256     128     SKIP    SKIP    2.114       2.114       
sweep     tensara_5                   basic     33554432    33554432    3       1       1       1       512     8       SKIP    SKIP    4.431       4.431       
sweep     tensara_5                   basic     33554432    33554432    3       1       1       1       512     16      SKIP    SKIP    2.399       2.399       
sweep     tensara_5                   basic     33554432    33554432    3       1       1       1       512     32      SKIP    SKIP    1.949       1.949       
sweep     tensara_5                   basic     33554432    33554432    3       1       1       1       512     64      SKIP    SKIP    2.141       2.141       
sweep     tensara_5                   basic     33554432    33554432    3       1       1       1       512     128     SKIP    SKIP    1.746       1.746       
sweep     tensara_5                   shared    33554432    33554432    3       1       1       1       64      8       SKIP    SKIP    44.498      44.498      
sweep     tensara_5                   shared    33554432    33554432    3       1       1       1       64      16      SKIP    SKIP    22.245      22.245      
sweep     tensara_5                   shared    33554432    33554432    3       1       1       1       64      32      SKIP    SKIP    11.349      11.349      
sweep     tensara_5                   shared    33554432    33554432    3       1       1       1       64      64      SKIP    SKIP    5.783       5.783       
sweep     tensara_5                   shared    33554432    33554432    3       1       1       1       64      128     SKIP    SKIP    3.056       3.056       
sweep     tensara_5                   shared    33554432    33554432    3       1       1       1       128     8       SKIP    SKIP    22.715      22.715      
sweep     tensara_5                   shared    33554432    33554432    3       1       1       1       128     16      SKIP    SKIP    11.475      11.475      
sweep     tensara_5                   shared    33554432    33554432    3       1       1       1       128     32      SKIP    SKIP    5.858       5.858       
sweep     tensara_5                   shared    33554432    33554432    3       1       1       1       128     64      SKIP    SKIP    3.068       3.068       
sweep     tensara_5                   shared    33554432    33554432    3       1       1       1       128     128     SKIP    SKIP    1.781       1.781       
sweep     tensara_5                   shared    33554432    33554432    3       1       1       1       256     8       SKIP    SKIP    11.605      11.605      
sweep     tensara_5                   shared    33554432    33554432    3       1       1       1       256     16      SKIP    SKIP    5.883       5.883       
sweep     tensara_5                   shared    33554432    33554432    3       1       1       1       256     32      SKIP    SKIP    3.167       3.167       
sweep     tensara_5                   shared    33554432    33554432    3       1       1       1       256     64      SKIP    SKIP    1.835       1.835       
sweep     tensara_5                   shared    33554432    33554432    3       1       1       1       256     128     SKIP    SKIP    2.315       2.315       
sweep     tensara_5                   shared    33554432    33554432    3       1       1       1       512     8       SKIP    SKIP    6.387       6.387       
sweep     tensara_5                   shared    33554432    33554432    3       1       1       1       512     16      SKIP    SKIP    3.310       3.310       
sweep     tensara_5                   shared    33554432    33554432    3       1       1       1       512     32      SKIP    SKIP    1.908       1.908       
sweep     tensara_5                   shared    33554432    33554432    3       1       1       1       512     64      SKIP    SKIP    2.416       2.416       
sweep     tensara_5                   shared    33554432    33554432    3       1       1       1       512     128     SKIP    SKIP    1.949       1.949       
sweep     tensara_6                   basic     67108864    22369622    5       3       2       1       64      8       SKIP    SKIP    22.446      22.446      
sweep     tensara_6                   basic     67108864    22369622    5       3       2       1       64      16      SKIP    SKIP    11.483      11.483      
sweep     tensara_6                   basic     67108864    22369622    5       3       2       1       64      32      SKIP    SKIP    5.944       5.944       
sweep     tensara_6                   basic     67108864    22369622    5       3       2       1       64      64      SKIP    SKIP    3.187       3.187       
sweep     tensara_6                   basic     67108864    22369622    5       3       2       1       64      128     SKIP    SKIP    2.240       2.240       
sweep     tensara_6                   basic     67108864    22369622    5       3       2       1       128     8       SKIP    SKIP    11.495      11.495      
sweep     tensara_6                   basic     67108864    22369622    5       3       2       1       128     16      SKIP    SKIP    5.940       5.940       
sweep     tensara_6                   basic     67108864    22369622    5       3       2       1       128     32      SKIP    SKIP    3.188       3.188       
sweep     tensara_6                   basic     67108864    22369622    5       3       2       1       128     64      SKIP    SKIP    2.252       2.252       
sweep     tensara_6                   basic     67108864    22369622    5       3       2       1       128     128     SKIP    SKIP    2.081       2.081       
sweep     tensara_6                   basic     67108864    22369622    5       3       2       1       256     8       SKIP    SKIP    6.020       6.020       
sweep     tensara_6                   basic     67108864    22369622    5       3       2       1       256     16      SKIP    SKIP    3.187       3.187       
sweep     tensara_6                   basic     67108864    22369622    5       3       2       1       256     32      SKIP    SKIP    2.249       2.249       
sweep     tensara_6                   basic     67108864    22369622    5       3       2       1       256     64      SKIP    SKIP    2.084       2.084       
sweep     tensara_6                   basic     67108864    22369622    5       3       2       1       256     128     SKIP    SKIP    2.586       2.586       
sweep     tensara_6                   basic     67108864    22369622    5       3       2       1       512     8       SKIP    SKIP    3.269       3.269       
sweep     tensara_6                   basic     67108864    22369622    5       3       2       1       512     16      SKIP    SKIP    2.249       2.249       
sweep     tensara_6                   basic     67108864    22369622    5       3       2       1       512     32      SKIP    SKIP    2.087       2.087       
sweep     tensara_6                   basic     67108864    22369622    5       3       2       1       512     64      SKIP    SKIP    2.604       2.604       
sweep     tensara_6                   basic     67108864    22369622    5       3       2       1       512     128     SKIP    SKIP    2.275       2.275       
sweep     tensara_6                   shared    67108864    22369622    5       3       2       1       64      8       SKIP    SKIP    54.338      54.338      
sweep     tensara_6                   shared    67108864    22369622    5       3       2       1       64      16      SKIP    SKIP    27.370      27.370      
sweep     tensara_6                   shared    67108864    22369622    5       3       2       1       64      32      SKIP    SKIP    13.743      13.743      
sweep     tensara_6                   shared    67108864    22369622    5       3       2       1       64      64      SKIP    SKIP    7.099       7.099       
sweep     tensara_6                   shared    67108864    22369622    5       3       2       1       64      128     SKIP    SKIP    3.776       3.776       
sweep     tensara_6                   shared    67108864    22369622    5       3       2       1       128     8       SKIP    SKIP    27.556      27.556      
sweep     tensara_6                   shared    67108864    22369622    5       3       2       1       128     16      SKIP    SKIP    13.892      13.892      
sweep     tensara_6                   shared    67108864    22369622    5       3       2       1       128     32      SKIP    SKIP    7.159       7.159       
sweep     tensara_6                   shared    67108864    22369622    5       3       2       1       128     64      SKIP    SKIP    3.817       3.817       
sweep     tensara_6                   shared    67108864    22369622    5       3       2       1       128     128     SKIP    SKIP    2.287       2.287       
sweep     tensara_6                   shared    67108864    22369622    5       3       2       1       256     8       SKIP    SKIP    14.552      14.552      
sweep     tensara_6                   shared    67108864    22369622    5       3       2       1       256     16      SKIP    SKIP    7.437       7.437       
sweep     tensara_6                   shared    67108864    22369622    5       3       2       1       256     32      SKIP    SKIP    3.981       3.981       
sweep     tensara_6                   shared    67108864    22369622    5       3       2       1       256     64      SKIP    SKIP    2.353       2.353       
