Timing samples: mode=median repeats=5 warmup=1 metric=kernel_ms

group   name            kernel      rows      cols      alpha   block_x grid_x  cpu   gpu   total_ms    kernel_ms   
tensara tensara_4       float4      4096      4096      0.200   256     64      SKIP  SKIP  28.855      0.754       
tensara tensara_5       float4      6144      4096      0.010   256     64      SKIP  SKIP  41.524      1.127       
tensara tensara_6       float4      6144      4096      0.050   256     64      SKIP  SKIP  55.038      1.126       
tensara tensara_7       float4      6144      4096      0.100   256     64      SKIP  SKIP  46.002      1.125       
tensara tensara_8       float4      6144      4096      0.200   256     64      SKIP  SKIP  52.362      1.139       
scale   scale_tensara_1 float4      4096      4096      0.010   64      8       SKIP  SKIP  79.556      4.439       
scale   scale_tensara_1 float4      4096      4096      0.010   64      16      SKIP  SKIP  44.374      2.294       
scale   scale_tensara_1 float4      4096      4096      0.010   64      32      SKIP  SKIP  52.580      1.209       
scale   scale_tensara_1 float4      4096      4096      0.010   64      64      SKIP  SKIP  38.156      0.818       
scale   scale_tensara_1 float4      4096      4096      0.010   64      128     SKIP  SKIP  34.922      0.756       
scale   scale_tensara_1 float4      4096      4096      0.010   128     8       SKIP  SKIP  39.195      2.013       
scale   scale_tensara_1 float4      4096      4096      0.010   128     16      SKIP  SKIP  35.755      1.140       
scale   scale_tensara_1 float4      4096      4096      0.010   128     32      SKIP  SKIP  35.005      0.799       
scale   scale_tensara_1 float4      4096      4096      0.010   128     64      SKIP  SKIP  36.454      0.756       
scale   scale_tensara_1 float4      4096      4096      0.010   128     128     SKIP  SKIP  33.809      0.757       
scale   scale_tensara_1 float4      4096      4096      0.010   256     8       SKIP  SKIP  37.923      1.048       
scale   scale_tensara_1 float4      4096      4096      0.010   256     16      SKIP  SKIP  34.591      0.786       
scale   scale_tensara_1 float4      4096      4096      0.010   256     32      SKIP  SKIP  41.576      0.755       
scale   scale_tensara_1 float4      4096      4096      0.010   256     64      SKIP  SKIP  40.514      0.756       
scale   scale_tensara_1 float4      4096      4096      0.010   256     128     SKIP  SKIP  58.160      0.767       
scale   scale_tensara_1 float4      4096      4096      0.010   512     8       SKIP  SKIP  38.674      0.791       
scale   scale_tensara_1 float4      4096      4096      0.010   512     16      SKIP  SKIP  46.706      0.755       
scale   scale_tensara_1 float4      4096      4096      0.010   512     32      SKIP  SKIP  33.925      0.756       
scale   scale_tensara_1 float4      4096      4096      0.010   512     64      SKIP  SKIP  37.274      0.767       
scale   scale_tensara_1 float4      4096      4096      0.010   512     128     SKIP  SKIP  36.095      0.752       
scale   scale_tensara_2 float4      4096      4096      0.050   64      8       SKIP  SKIP  45.319      3.388       
scale   scale_tensara_2 float4      4096      4096      0.050   64      16      SKIP  SKIP  45.788      1.786       
scale   scale_tensara_2 float4      4096      4096      0.050   64      32      SKIP  SKIP  37.237      1.042       
scale   scale_tensara_2 float4      4096      4096      0.050   64      64      SKIP  SKIP  37.886      0.785       
scale   scale_tensara_2 float4      4096      4096      0.050   64      128     SKIP  SKIP  33.152      0.754       
scale   scale_tensara_2 float4      4096      4096      0.050   128     8       SKIP  SKIP  35.601      1.785       
scale   scale_tensara_2 float4      4096      4096      0.050   128     16      SKIP  SKIP  35.398      1.042       
