Timing samples: mode=median repeats=5 warmup=1 metric=kernel_ms

group   name            kernel        m         k         block_x grid_x  cpu   gpu   total_ms    kernel_ms   
scale   scale_sq        basic         4096      4096      256     8       SKIP  SKIP  18.779      1.115       
scale   scale_sq        basic         4096      4096      256     16      SKIP  SKIP  17.390      0.982       
scale   scale_sq        basic         4096      4096      256     32      SKIP  SKIP  15.770      0.982       
scale   scale_sq        basic         4096      4096      256     64      SKIP  SKIP  17.547      1.137       
scale   scale_sq        basic         4096      4096      256     128     SKIP  SKIP  17.545      1.135       
scale   scale_sq        basic         4096      4096      512     8       SKIP  SKIP  17.624      1.134       
scale   scale_sq        basic         4096      4096      512     16      SKIP  SKIP  16.812      1.130       
scale   scale_sq        basic         4096      4096      512     32      SKIP  SKIP  17.592      1.151       
scale   scale_sq        basic         4096      4096      512     64      SKIP  SKIP  23.606      2.226       
scale   scale_sq        basic         4096      4096      512     128     SKIP  SKIP  23.435      2.227       
scale   scale_tall      basic         8192      2048      64      8       SKIP  SKIP  38.859      2.363       
scale   scale_tall      basic         8192      2048      64      16      SKIP  SKIP  22.787      1.262       
scale   scale_tall      basic         8192      2048      64      32      SKIP  SKIP  22.652      1.001       
scale   scale_tall      basic         8192      2048      64      64      SKIP  SKIP  20.598      0.984       
scale   scale_tall      basic         8192      2048      64      128     SKIP  SKIP  17.867      1.004       
scale   scale_tall      basic         8192      2048      128     8       SKIP  SKIP  23.369      1.404       
scale   scale_tall      basic         8192      2048      128     16      SKIP  SKIP  27.332      1.026       
scale   scale_tall      basic         8192      2048      128     32      SKIP  SKIP  30.417      0.984       
scale   scale_tall      basic         8192      2048      128     64      SKIP  SKIP  19.434      1.040       
scale   scale_tall      basic         8192      2048      128     128     SKIP  SKIP  24.864      1.021       
scale   scale_tall      basic         8192      2048      256     8       SKIP  SKIP  22.508      1.115       
scale   scale_tall      basic         8192      2048      256     16      SKIP  SKIP  19.060      0.983       
scale   scale_tall      basic         8192      2048      256     32      SKIP  SKIP  19.143      1.016       
scale   scale_tall      basic         8192      2048      256     64      SKIP  SKIP  20.614      1.027       
scale   scale_tall      basic         8192      2048      256     128     SKIP  SKIP  19.385      1.024       
scale   scale_tall      basic         8192      2048      512     8       SKIP  SKIP  19.268      1.135       
scale   scale_tall      basic         8192      2048      512     16      SKIP  SKIP  19.147      1.001       
scale   scale_tall      basic         8192      2048      512     32      SKIP  SKIP  16.672      1.005       
scale   scale_tall      basic         8192      2048      512     64      SKIP  SKIP  23.234      1.135       
scale   scale_tall      basic         8192      2048      512     128     SKIP  SKIP  23.584      1.119       
scale   scale_wide      basic         2048      8192      64      8       SKIP  SKIP  55.513      2.442       
scale   scale_wide      basic         2048      8192      64      16      SKIP  SKIP  45.496      1.329       
scale   scale_wide      basic         2048      8192      64      32      SKIP  SKIP  26.971      1.006       
scale   scale_wide      basic         2048      8192      64      64      SKIP  SKIP  25.139      1.002       
scale   scale_wide      basic         2048      8192      64      128     SKIP  SKIP  24.994      1.001       
scale   scale_wide      basic         2048      8192      128     8       SKIP  SKIP  21.743      1.428       
scale   scale_wide      basic         2048      8192      128     16      SKIP  SKIP  16.235      0.999       
scale   scale_wide      basic         2048      8192      128     32      SKIP  SKIP  17.474      1.001       
scale   scale_wide      basic         2048      8192      128     64      SKIP  SKIP  17.079      1.115       
scale   scale_wide      basic         2048      8192      128     128     SKIP  SKIP  17.524      1.115       
scale   scale_wide      basic         2048      8192      256     8       SKIP  SKIP  18.829      1.116       
scale   scale_wide      basic         2048      8192      256     16      SKIP  SKIP  17.780      1.132       
scale   scale_wide      basic         2048      8192      256     32      SKIP  SKIP  18.123      1.116       
scale   scale_wide      basic         2048      8192      256     64      SKIP  SKIP  23.610      2.241       
scale   scale_wide      basic         2048      8192      256     128     SKIP  SKIP  26.454      2.256       
scale   scale_wide      basic         2048      8192      512     8       SKIP  SKIP  26.369      2.241       
scale   scale_wide      basic         2048      8192      512     16      SKIP  SKIP  34.469      2.244       
scale   scale_wide      basic         2048      8192      512     32      SKIP  SKIP  27.488      2.246       
scale   scale_wide      basic         2048      8192      512     64      SKIP  SKIP  42.888      4.446       
scale   scale_wide      basic         2048      8192      512     128     SKIP  SKIP  40.848      4.442       
small   small_1         constant_b    2         3         256     64      SKIP  PASS  0.922       0.026       
small   small_2         constant_b    3         1         256     64      SKIP  PASS  0.538       0.005       
small   small_3         constant_b    1         4         256     64      SKIP  PASS  0.561       0.005       
small   small_4         constant_b    3         4         256     64      SKIP  PASS  0.561       0.005       
medium  medium_1        constant_b    64        64        256     64      SKIP  SKIP  0.525       0.007       
medium  medium_2        constant_b    255       257       256     64      SKIP  SKIP  0.733       0.014       
medium  medium_3        constant_b    513       1025      256     64      SKIP  SKIP  1.792       0.117       
medium  medium_4        constant_b    1024      1024      256     64      SKIP  SKIP  3.571       0.275       
medium  medium_tail     constant_b    257       258       256     64      SKIP  SKIP  1.155       0.018       
large   large_1         constant_b    1023      2049      256     64      SKIP  SKIP  4.034       0.219       
large   large_2         constant_b    1537      2049      256     64      SKIP  SKIP  4.669       0.244       
tensara tensara_1       constant_b    4096      4096      256     64      SKIP  SKIP  20.371      1.089       
tensara tensara_2       constant_b    6144      4096      256     64      SKIP  SKIP  34.348      1.511       
tensara tensara_3       constant_b    7168      4096      256     64      SKIP  SKIP  30.658      1.732       
tensara tensara_4       constant_b    8192      4096      256     64      SKIP  SKIP  65.221      1.993       
tensara tensara_5       constant_b    9216      4096      256     64      SKIP  SKIP  41.408      2.200       
scale   scale_tensara_1 constant_b    4096      4096      64      8       SKIP  SKIP  35.389      2.331       
scale   scale_tensara_1 constant_b    4096      4096      64      16      SKIP  SKIP  34.839      1.256       
scale   scale_tensara_1 constant_b    4096      4096      64      32      SKIP  SKIP  25.658      0.985       
scale   scale_tensara_1 constant_b    4096      4096      64      64      SKIP  SKIP  23.160      0.984       
scale   scale_tensara_1 constant_b    4096      4096      64      128     SKIP  SKIP  19.981      0.994       
scale   scale_tensara_1 constant_b    4096      4096      128     8       SKIP  SKIP  31.639      1.353       
scale   scale_tensara_1 constant_b    4096      4096      128     16      SKIP  SKIP  29.934      0.986       
scale   scale_tensara_1 constant_b    4096      4096      128     32      SKIP  SKIP  21.942      0.984       
scale   scale_tensara_1 constant_b    4096      4096      128     64      SKIP  SKIP  23.322      0.982       
scale   scale_tensara_1 constant_b    4096      4096      128     128     SKIP  SKIP  25.662      0.981       
scale   scale_tensara_1 constant_b    4096      4096      256     8       SKIP  SKIP  21.468      1.082       
scale   scale_tensara_1 constant_b    4096      4096      256     16      SKIP  SKIP  24.253      0.981       
scale   scale_tensara_1 constant_b    4096      4096      256     32      SKIP  SKIP  21.406      0.999       
scale   scale_tensara_1 constant_b    4096      4096      256     64      SKIP  SKIP  39.413      1.091       
scale   scale_tensara_1 constant_b    4096      4096      256     128     SKIP  SKIP  30.280      1.086       
