Timing samples: mode=median repeats=5 warmup=1 metric=kernel_ms
CPU reference implemented: yes
GPU kernel implemented: yes

group   name              kernel                 H       H_out       K       S       P   block    grid    cpu    gpu    total_ms   kernel_ms
scale   scale_tiny        coop_shared           33          33       3       1       1      64       8    REF   PASS       0.873       0.007
scale   scale_tiny        coop_shared           33          33       3       1       1      64      16    REF   PASS       0.644       0.006
scale   scale_tiny        coop_shared           33          33       3       1       1      64      32    REF   PASS       0.494       0.005
scale   scale_tiny        coop_shared           33          33       3       1       1      64      64    REF   PASS       0.473       0.006
scale   scale_tiny        coop_shared           33          33       3       1       1      64     128    REF   PASS       0.458       0.006
scale   scale_tiny        coop_shared           33          33       3       1       1     128       8    REF   PASS       0.442       0.006
scale   scale_tiny        coop_shared           33          33       3       1       1     128      16    REF   PASS       0.491       0.006
scale   scale_tiny        coop_shared           33          33       3       1       1     128      32    REF   PASS       0.465       0.006
scale   scale_tiny        coop_shared           33          33       3       1       1     128      64    REF   PASS       0.443       0.006
scale   scale_tiny        coop_shared           33          33       3       1       1     128     128    REF   PASS       0.507       0.006
scale   scale_tiny        coop_shared           33          33       3       1       1     256       8    REF   PASS       0.471       0.006
scale   scale_tiny        coop_shared           33          33       3       1       1     256      16    REF   PASS       0.480       0.005
scale   scale_tiny        coop_shared           33          33       3       1       1     256      32    REF   PASS       0.440       0.005
scale   scale_tiny        coop_shared           33          33       3       1       1     256      64    REF   PASS       0.452       0.007
scale   scale_tiny        coop_shared           33          33       3       1       1     256     128    REF   PASS       0.445       0.006
scale   scale_tiny        coop_shared           33          33       3       1       1     512       8    REF   PASS       0.449       0.006
scale   scale_tiny        coop_shared           33          33       3       1       1     512      16    REF   PASS       0.438       0.006
scale   scale_tiny        coop_shared           33          33       3       1       1     512      32    REF   PASS       0.427       0.006
scale   scale_tiny        coop_shared           33          33       3       1       1     512      64    REF   PASS       0.453       0.006
scale   scale_tiny        coop_shared           33          33       3       1       1     512     128    REF   PASS       0.445       0.006
scale   scale_stride_gap  coop_shared          513         103       4       5       2      64       8    REF   PASS       0.459       0.006
scale   scale_stride_gap  coop_shared          513         103       4       5       2      64      16    REF   PASS       0.444       0.006
scale   scale_stride_gap  coop_shared          513         103       4       5       2      64      32    REF   PASS       0.418       0.006
scale   scale_stride_gap  coop_shared          513         103       4       5       2      64      64    REF   PASS       0.435       0.006
scale   scale_stride_gap  coop_shared          513         103       4       5       2      64     128    REF   PASS       0.454       0.006
scale   scale_stride_gap  coop_shared          513         103       4       5       2     128       8    REF   PASS       0.521       0.006
scale   scale_stride_gap  coop_shared          513         103       4       5       2     128      16    REF   PASS       0.506       0.008
scale   scale_stride_gap  coop_shared          513         103       4       5       2     128      32    REF   PASS       0.520       0.006
scale   scale_stride_gap  coop_shared          513         103       4       5       2     128      64    REF   PASS       0.518       0.006
scale   scale_stride_gap  coop_shared          513         103       4       5       2     128     128    REF   PASS       0.866       0.007
scale   scale_stride_gap  coop_shared          513         103       4       5       2     256       8    REF   PASS       0.569       0.006
scale   scale_stride_gap  coop_shared          513         103       4       5       2     256      16    REF   PASS       0.473       0.006
scale   scale_stride_gap  coop_shared          513         103       4       5       2     256      32    REF   PASS       0.484       0.006
scale   scale_stride_gap  coop_shared          513         103       4       5       2     256      64    REF   PASS       0.474       0.006
scale   scale_stride_gap  coop_shared          513         103       4       5       2     256     128    REF   PASS       0.474       0.006
scale   scale_stride_gap  coop_shared          513         103       4       5       2     512       8    REF   PASS       0.452       0.006
scale   scale_stride_gap  coop_shared          513         103       4       5       2     512      16    REF   PASS       0.530       0.006
scale   scale_stride_gap  coop_shared          513         103       4       5       2     512      32    REF   PASS       0.527       0.007
scale   scale_stride_gap  coop_shared          513         103       4       5       2     512      64    REF   PASS       0.584       0.006
scale   scale_stride_gap  coop_shared          513         103       4       5       2     512     128    REF   PASS       0.660       0.007
scale   scale_tail        coop_shared         4097        1025       7       4       3      64       8    REF   PASS       0.614       0.008
scale   scale_tail        coop_shared         4097        1025       7       4       3      64      16    REF   PASS       0.523       0.006
scale   scale_tail        coop_shared         4097        1025       7       4       3      64      32    REF   PASS       0.460       0.006
scale   scale_tail        coop_shared         4097        1025       7       4       3      64      64    REF   PASS       0.484       0.006
scale   scale_tail        coop_shared         4097        1025       7       4       3      64     128    REF   PASS       0.494       0.006
scale   scale_tail        coop_shared         4097        1025       7       4       3     128       8    REF   PASS       0.514       0.007
scale   scale_tail        coop_shared         4097        1025       7       4       3     128      16    REF   PASS       0.500       0.007
scale   scale_tail        coop_shared         4097        1025       7       4       3     128      32    REF   PASS       0.634       0.007
scale   scale_tail        coop_shared         4097        1025       7       4       3     128      64    REF   PASS       0.509       0.009
scale   scale_tail        coop_shared         4097        1025       7       4       3     128     128    REF   PASS       0.562       0.006
scale   scale_tail        coop_shared         4097        1025       7       4       3     256       8    REF   PASS       0.477       0.006
scale   scale_tail        coop_shared         4097        1025       7       4       3     256      16    REF   PASS       0.449       0.007
scale   scale_tail        coop_shared         4097        1025       7       4       3     256      32    REF   PASS       0.669       0.006
scale   scale_tail        coop_shared         4097        1025       7       4       3     256      64    REF   PASS       0.516       0.006
scale   scale_tail        coop_shared         4097        1025       7       4       3     256     128    REF   PASS       0.513       0.006
scale   scale_tail        coop_shared         4097        1025       7       4       3     512       8    REF   PASS       0.555       0.006
scale   scale_tail        coop_shared         4097        1025       7       4       3     512      16    REF   PASS       0.504       0.006
scale   scale_tail        coop_shared         4097        1025       7       4       3     512      32    REF   PASS       0.523       0.006
scale   scale_tail        coop_shared         4097        1025       7       4       3     512      64    REF   PASS       0.455       0.007
scale   scale_tail        coop_shared         4097        1025       7       4       3     512     128    REF   PASS       0.500       0.007
scale   scale_kernel_1    coop_shared         1024        1024       1       1       0      64       8    REF   PASS       0.482       0.005
scale   scale_kernel_1    coop_shared         1024        1024       1       1       0      64      16    REF   PASS       0.495       0.007
scale   scale_kernel_1    coop_shared         1024        1024       1       1       0      64      32    REF   PASS       0.522       0.005
scale   scale_kernel_1    coop_shared         1024        1024       1       1       0      64      64    REF   PASS       0.440       0.005
