Timing samples: mode=median repeats=5 warmup=1 metric=kernel_ms
CPU reference implemented: yes
GPU kernel implemented: yes

group   name              kernel                 H       H_out       K       S       P   block    grid    cpu    gpu    total_ms   kernel_ms
scale   scale_tensara_5   basic           33554432    33554432       3       1       1     256      32   SKIP   SKIP      62.225       2.722
scale   scale_tensara_5   basic           33554432    33554432       3       1       1     256      64   SKIP   SKIP      56.373       2.179
scale   scale_tensara_5   basic           33554432    33554432       3       1       1     256     128   SKIP   SKIP      53.292       2.183
scale   scale_tensara_5   basic           33554432    33554432       3       1       1     512       8   SKIP   SKIP      70.658       5.202
scale   scale_tensara_5   basic           33554432    33554432       3       1       1     512      16   SKIP   SKIP      55.948       2.706
scale   scale_tensara_5   basic           33554432    33554432       3       1       1     512      32   SKIP   SKIP      53.005       2.156
scale   scale_tensara_5   basic           33554432    33554432       3       1       1     512      64   SKIP   SKIP      66.705       2.186
scale   scale_tensara_5   basic           33554432    33554432       3       1       1     512     128   SKIP   SKIP      50.622       1.797
scale   scale_tensara_6   basic           67108864    22369622       5       3       2      64       8   SKIP   SKIP     201.722      24.799
scale   scale_tensara_6   basic           67108864    22369622       5       3       2      64      16   SKIP   SKIP     128.356      12.659
scale   scale_tensara_6   basic           67108864    22369622       5       3       2      64      32   SKIP   SKIP     101.736       6.512
scale   scale_tensara_6   basic           67108864    22369622       5       3       2      64      64   SKIP   SKIP      75.734       3.521
scale   scale_tensara_6   basic           67108864    22369622       5       3       2      64     128   SKIP   SKIP      67.091       2.343
scale   scale_tensara_6   basic           67108864    22369622       5       3       2     128       8   SKIP   SKIP     131.182      12.711
scale   scale_tensara_6   basic           67108864    22369622       5       3       2     128      16   SKIP   SKIP      91.279       6.525
scale   scale_tensara_6   basic           67108864    22369622       5       3       2     128      32   SKIP   SKIP      72.270       3.510
scale   scale_tensara_6   basic           67108864    22369622       5       3       2     128      64   SKIP   SKIP      68.414       2.347
scale   scale_tensara_6   basic           67108864    22369622       5       3       2     128     128   SKIP   SKIP      65.114       2.104
scale   scale_tensara_6   basic           67108864    22369622       5       3       2     256       8   SKIP   SKIP      91.695       6.706
scale   scale_tensara_6   basic           67108864    22369622       5       3       2     256      16   SKIP   SKIP      73.548       3.509
scale   scale_tensara_6   basic           67108864    22369622       5       3       2     256      32   SKIP   SKIP      74.366       2.329
scale   scale_tensara_6   basic           67108864    22369622       5       3       2     256      64   SKIP   SKIP      65.810       2.110
scale   scale_tensara_6   basic           67108864    22369622       5       3       2     256     128   SKIP   SKIP      71.148       2.504
scale   scale_tensara_6   basic           67108864    22369622       5       3       2     512       8   SKIP   SKIP      74.808       3.734
scale   scale_tensara_6   basic           67108864    22369622       5       3       2     512      16   SKIP   SKIP      66.825       2.302
scale   scale_tensara_6   basic           67108864    22369622       5       3       2     512      32   SKIP   SKIP      65.341       2.095
scale   scale_tensara_6   basic           67108864    22369622       5       3       2     512      64   SKIP   SKIP      74.602       2.606
scale   scale_tensara_6   basic           67108864    22369622       5       3       2     512     128   SKIP   SKIP      70.542       2.271
small   pad_stride_1      basic_ldg              5           5       3       1       1     256      64   SKIP   PASS       0.839       0.004
small   stride_2          basic_ldg              6           3       2       2       0     256      64   SKIP   PASS       0.478       0.007
small   wide_pad          basic_ldg              4           5       4       1       2     256      64   SKIP   PASS       0.478       0.004
small   kernel_1          basic_ldg              4           4       1       1       0     256      64   SKIP   PASS       0.446       0.005
small   pad_stride_2      basic_ldg              3           3       3       2       2     256      64   SKIP   PASS       0.587       0.004
small   stride_gap        basic_ldg              7           2       2       3       0     256      64   SKIP   PASS       0.434       0.006
small   pad_zero_windows  basic_ldg              1           6       2       1       3     256      64   SKIP   PASS       0.570       0.004
small   zero_output       basic_ldg              2           0       5       1       0     256      64   SKIP   PASS       0.000       0.000
medium  sample            basic_ldg             16           8       3       2       1     256      64   SKIP   SKIP       0.465       0.006
medium  medium_1          basic_ldg           4096        1024       7       4       3     256      64   SKIP   SKIP       0.581       0.005
medium  medium_2          basic_ldg          65536       32768       3       2       1     256      64   SKIP   SKIP       0.555       0.006
medium  medium_3          basic_ldg         262144       87382       5       3       2     256      64   SKIP   SKIP       0.765       0.020
large   large_1           basic_ldg        1048576      262144       7       4       3     256      64   SKIP   SKIP       1.461       0.036
large   large_2           basic_ldg        1048583      349528       5       3       2     256      64   SKIP   SKIP       1.855       0.036
tensara tensara_1         basic_ldg        2097152      524288       7       4       3     256      64   SKIP   SKIP       2.555       0.063
tensara tensara_2         basic_ldg        4194304     4194303       2       1       0     256      64   SKIP   SKIP       7.437       0.255
tensara tensara_3         basic_ldg        8388608     4194304       3       2       1     256      64   SKIP   SKIP      11.451       0.296
tensara tensara_4         basic_ldg       16777216     8388608       4       2       1     256      64   SKIP   SKIP      21.776       0.613
tensara tensara_5         basic_ldg       33554432    33554432       3       1       1     256      64   SKIP   SKIP      58.046       2.193
tensara tensara_6         basic_ldg       67108864    22369622       5       3       2     256      64   SKIP   SKIP      66.721       2.110
scale   scale_tensara_1   basic_ldg        2097152      524288       7       4       3      64       8   SKIP   SKIP       6.603       0.624
scale   scale_tensara_1   basic_ldg        2097152      524288       7       4       3      64      16   SKIP   SKIP       4.455       0.318
scale   scale_tensara_1   basic_ldg        2097152      524288       7       4       3      64      32   SKIP   SKIP       3.598       0.166
scale   scale_tensara_1   basic_ldg        2097152      524288       7       4       3      64      64   SKIP   SKIP       2.592       0.094
scale   scale_tensara_1   basic_ldg        2097152      524288       7       4       3      64     128   SKIP   SKIP       4.159       0.068
scale   scale_tensara_1   basic_ldg        2097152      524288       7       4       3     128       8   SKIP   SKIP       6.399       0.318
scale   scale_tensara_1   basic_ldg        2097152      524288       7       4       3     128      16   SKIP   SKIP       3.421       0.168
scale   scale_tensara_1   basic_ldg        2097152      524288       7       4       3     128      32   SKIP   SKIP       2.903       0.095
scale   scale_tensara_1   basic_ldg        2097152      524288       7       4       3     128      64   SKIP   SKIP       2.365       0.067
scale   scale_tensara_1   basic_ldg        2097152      524288       7       4       3     128     128   SKIP   SKIP       3.018       0.063
scale   scale_tensara_1   basic_ldg        2097152      524288       7       4       3     256       8   SKIP   SKIP       3.204       0.170
scale   scale_tensara_1   basic_ldg        2097152      524288       7       4       3     256      16   SKIP   SKIP       4.148       0.096
scale   scale_tensara_1   basic_ldg        2097152      524288       7       4       3     256      32   SKIP   SKIP       3.933       0.069
scale   scale_tensara_1   basic_ldg        2097152      524288       7       4       3     256      64   SKIP   SKIP       3.921       0.063
scale   scale_tensara_1   basic_ldg        2097152      524288       7       4       3     256     128   SKIP   SKIP       3.573       0.071
scale   scale_tensara_1   basic_ldg        2097152      524288       7       4       3     512       8   SKIP   SKIP       3.316       0.102
scale   scale_tensara_1   basic_ldg        2097152      524288       7       4       3     512      16   SKIP   SKIP       2.870       0.068
scale   scale_tensara_1   basic_ldg        2097152      524288       7       4       3     512      32   SKIP   SKIP       2.534       0.062
scale   scale_tensara_1   basic_ldg        2097152      524288       7       4       3     512      64   SKIP   SKIP       2.447       0.069
scale   scale_tensara_1   basic_ldg        2097152      524288       7       4       3     512     128   SKIP   SKIP       2.329       0.065
scale   scale_tensara_2   basic_ldg        4194304     4194303       2       1       0      64       8   SKIP   SKIP      37.213       5.076
scale   scale_tensara_2   basic_ldg        4194304     4194303       2       1       0      64      16   SKIP   SKIP      21.023       2.395
scale   scale_tensara_2   basic_ldg        4194304     4194303       2       1       0      64      32   SKIP   SKIP      13.186       1.210
scale   scale_tensara_2   basic_ldg        4194304     4194303       2       1       0      64      64   SKIP   SKIP       9.600       0.632
scale   scale_tensara_2   basic_ldg        4194304     4194303       2       1       0      64     128   SKIP   SKIP       7.785       0.347
scale   scale_tensara_2   basic_ldg        4194304     4194303       2       1       0     128       8   SKIP   SKIP      19.540       2.376
