Timing samples: mode=median repeats=5 warmup=1 metric=kernel_ms

group   name            kernel    N         K       block_x grid_x  cpu   gpu   total_ms    kernel_ms   
scale   scale_tensara_1 tiled     32768     8191    256     128     SKIP  SKIP  9.684       1.337       
scale   scale_tensara_1 tiled_c   32768     8191    256     128     SKIP  SKIP  9.452       0.864       
scale   scale_tensara_1 bstride   32768     8191    256     128     SKIP  SKIP  7.478       1.005       
scale   scale_tensara_1 bstride_c 32768     8191    256     128     SKIP  SKIP  4.364       0.511       
scale   scale_tensara_1 basic     32768     8191    512     8       SKIP  SKIP  16.161      2.253       
scale   scale_tensara_1 basic_c   32768     8191    512     8       SKIP  SKIP  13.712      2.049       
scale   scale_tensara_1 tiled     32768     8191    512     8       SKIP  SKIP  20.325      3.046       
scale   scale_tensara_1 tiled_c   32768     8191    512     8       SKIP  SKIP  12.623      1.845       
scale   scale_tensara_1 bstride   32768     8191    512     8       SKIP  SKIP  15.677      2.171       
scale   scale_tensara_1 bstride_c 32768     8191    512     8       SKIP  SKIP  8.585       1.104       
scale   scale_tensara_1 basic     32768     8191    512     16      SKIP  SKIP  8.612       1.079       
scale   scale_tensara_1 basic_c   32768     8191    512     16      SKIP  SKIP  7.784       1.045       
scale   scale_tensara_1 tiled     32768     8191    512     16      SKIP  SKIP  10.026      1.540       
scale   scale_tensara_1 tiled_c   32768     8191    512     16      SKIP  SKIP  6.861       0.974       
scale   scale_tensara_1 bstride   32768     8191    512     16      SKIP  SKIP  8.557       1.164       
scale   scale_tensara_1 bstride_c 32768     8191    512     16      SKIP  SKIP  4.612       0.588       
scale   scale_tensara_1 basic     32768     8191    512     32      SKIP  SKIP  7.653       1.150       
scale   scale_tensara_1 basic_c   32768     8191    512     32      SKIP  SKIP  7.030       1.061       
scale   scale_tensara_1 tiled     32768     8191    512     32      SKIP  SKIP  9.525       1.377       
scale   scale_tensara_1 tiled_c   32768     8191    512     32      SKIP  SKIP  6.564       0.865       
scale   scale_tensara_1 bstride   32768     8191    512     32      SKIP  SKIP  8.421       1.232       
scale   scale_tensara_1 bstride_c 32768     8191    512     32      SKIP  SKIP  5.028       0.620       
scale   scale_tensara_1 basic     32768     8191    512     64      SKIP  SKIP  8.706       1.178       
scale   scale_tensara_1 basic_c   32768     8191    512     64      SKIP  SKIP  7.277       1.004       
scale   scale_tensara_1 tiled     32768     8191    512     64      SKIP  SKIP  10.735      1.392       
scale   scale_tensara_1 tiled_c   32768     8191    512     64      SKIP  SKIP  7.055       0.794       
scale   scale_tensara_1 bstride   32768     8191    512     64      SKIP  SKIP  8.638       1.164       
scale   scale_tensara_1 bstride_c 32768     8191    512     64      SKIP  SKIP  5.129       0.587       
scale   scale_tensara_1 basic     32768     8191    512     128     SKIP  SKIP  8.729       1.158       
