Timing samples: mode=median repeats=5 warmup_rounds=5 shuffle_seed=6221073 metric=kernel_ms
CPU reference implemented: yes
GPU kernel implemented: yes

group     name                    kernel        rows    cols    elements      block_x grid_x  cpu     gpu     total_ms    kernel_ms   
scale     tensara_2               basic         256     4096    1048576       128     16      SKIP    SKIP    44.436      44.436      
scale     tensara_2               basic         256     4096    1048576       128     32      SKIP    SKIP    22.115      22.115      
scale     tensara_2               basic         256     4096    1048576       128     64      SKIP    SKIP    11.341      11.341      
scale     tensara_2               basic         256     4096    1048576       128     128     SKIP    SKIP    10.418      10.418      
scale     tensara_2               basic         256     4096    1048576       256     8       SKIP    SKIP    43.526      43.526      
scale     tensara_2               basic         256     4096    1048576       256     16      SKIP    SKIP    21.972      21.972      
scale     tensara_2               basic         256     4096    1048576       256     32      SKIP    SKIP    11.279      11.279      
scale     tensara_2               basic         256     4096    1048576       256     64      SKIP    SKIP    11.640      11.640      
scale     tensara_2               basic         256     4096    1048576       256     128     SKIP    SKIP    9.307       9.307       
scale     tensara_2               basic         256     4096    1048576       512     8       SKIP    SKIP    24.392      24.392      
scale     tensara_2               basic         256     4096    1048576       512     16      SKIP    SKIP    12.197      12.197      
scale     tensara_2               basic         256     4096    1048576       512     32      SKIP    SKIP    9.377       9.377       
scale     tensara_2               basic         256     4096    1048576       512     64      SKIP    SKIP    9.256       9.256       
scale     tensara_2               basic         256     4096    1048576       512     128     SKIP    SKIP    7.774       7.774       
scale     tensara_2               float4        256     4096    1048576       64      8       SKIP    SKIP    40.595      40.595      
scale     tensara_2               float4        256     4096    1048576       64      16      SKIP    SKIP    28.888      28.888      
scale     tensara_2               float4        256     4096    1048576       64      32      SKIP    SKIP    23.048      23.048      
scale     tensara_2               float4        256     4096    1048576       64      64      SKIP    SKIP    20.350      20.350      
scale     tensara_2               float4        256     4096    1048576       64      128     SKIP    SKIP    10.467      10.467      
scale     tensara_2               float4        256     4096    1048576       128     8       SKIP    SKIP    29.271      29.271      
scale     tensara_2               float4        256     4096    1048576       128     16      SKIP    SKIP    22.839      22.839      
scale     tensara_2               float4        256     4096    1048576       128     32      SKIP    SKIP    20.219      20.219      
scale     tensara_2               float4        256     4096    1048576       128     64      SKIP    SKIP    10.440      10.440      
scale     tensara_2               float4        256     4096    1048576       128     128     SKIP    SKIP    5.441       5.441       
scale     tensara_2               float4        256     4096    1048576       256     8       SKIP    SKIP    25.399      25.399      
scale     tensara_2               float4        256     4096    1048576       256     16      SKIP    SKIP    20.574      20.574      
scale     tensara_2               float4        256     4096    1048576       256     32      SKIP    SKIP    10.504      10.504      
scale     tensara_2               float4        256     4096    1048576       256     64      SKIP    SKIP    5.461       5.461       
